brc_bb RRTMG LUT interpolated from GADS (DAR 06/2015)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
 5154.6   70  1.3758 -7.824e-03  0.064  0.086    1.60  0.0038  0.008  0.149  0.104  0.042  1.000  0.127  0.507  0.026  0.001  0.000  0.000  0.000
 4618.9   70  1.3823 -1.463e-02  0.064  0.086    1.60  0.0075  0.017  0.149  0.116  0.052  1.000  0.156  0.511  0.032  0.002  0.000  0.000  0.000
 4319.7   70  1.3885 -9.953e-03  0.064  0.086    1.60  0.0059  0.013  0.149  0.210  0.059  1.000  0.177  0.514  0.037  0.002  0.000  0.000  0.000
 4016.1   70  1.3937 -4.919e-03  0.064  0.086    1.60  0.0041  0.009  0.149  0.386  0.067  1.000  0.204  0.518  0.042  0.003  0.000  0.000  0.000
 3418.8   70  1.4231 -1.389e-02  0.064  0.086    1.60  0.0121  0.028  0.149  0.297  0.092  1.000  0.275  0.531  0.056  0.006  0.001  0.000  0.000
 3444.7   70  1.4219 -1.164e-02  0.064  0.086    1.60  0.0105  0.025  0.149  0.333  0.090  1.000  0.272  0.530  0.055  0.005  0.001  0.000  0.000
 2777.0   70  1.3356 -1.426e-01  0.064  0.086    1.60  0.1093  0.251  0.149  0.200  0.120  1.000  0.361  0.553  0.082  0.011  0.002  0.000  0.000
 2320.2   70  1.3318  2.294e-02  0.064  0.086    1.60  0.0000  0.000  0.149  0.706  0.165  1.000  0.495  0.598  0.118  0.021  0.004  0.001  0.000
 2044.2   70  1.3492 -2.238e-04  0.064  0.086    1.60  0.0173  0.040  0.149  0.791  0.200  1.000  0.602  0.641  0.150  0.033  0.007  0.002  0.001
 1778.4   70  1.3750 -7.383e-03  0.064  0.086    1.60  0.0385  0.088  0.149  0.760  0.246  1.000  0.740  0.705  0.198  0.051  0.013  0.004  0.001
 1455.2   70  1.4002 -9.428e-03  0.064  0.086    1.60  0.0792  0.182  0.149  0.799  0.320  1.000  0.961  0.833  0.292  0.095  0.029  0.009  0.003
 1270.3   70  1.3999 -8.004e-03  0.064  0.086    1.60  0.1129  0.260  0.149  0.855  0.373  1.000  1.117  0.946  0.381  0.142  0.049  0.019  0.006
  944.3   70  1.4069 -5.860e-03  0.064  0.086    1.60  0.2533  0.581  0.149  0.929  0.487  1.000  1.463  1.266  0.659  0.317  0.137  0.062  0.027
  693.5   70  1.4130 -2.969e-03  0.064  0.086    1.60  0.5445  1.250  0.149  0.975  0.593  1.000  1.778  1.680  1.082  0.637  0.336  0.178  0.090
  527.1   70  1.4145 -2.188e-02  0.064  0.086    1.60  1.0220  2.346  0.149  0.861  0.669  1.000  2.007  2.073  1.562  1.055  0.647  0.387  0.223
  399.8   70  1.4180 -3.334e-02  0.064  0.086    1.60  1.6139  3.704  0.149  0.826  0.727  1.000  2.181  2.457  2.097  1.594  1.112  0.745  0.483
  329.1   70  1.4207 -4.669e-02  0.064  0.086    1.60  2.0416  4.686  0.149  0.781  0.760  1.000  2.280  2.704  2.480  2.023  1.526  1.098  0.767
  229.8   70  1.4322 -7.978e-02  0.064  0.086    1.60  2.5605  5.876  0.149  0.683  0.803  1.000  2.411  3.063  3.098  2.804  2.373  1.912  1.500
 7082.2   70  1.3542 -4.418e-02  0.064  0.086    1.60  0.0131  0.030  0.149  0.011  0.023  1.000  0.068  0.502  0.015  0.000  0.000  0.000  0.000
  300.0   80  1.4090 -5.560e-02  0.064  0.092    1.60  2.2902  4.896  0.159  0.748  0.789  1.000  2.366  2.933  2.854  2.478  2.000  1.538  1.151
  400.0   80  1.4030 -3.330e-02  0.064  0.092    1.60  1.6905  3.614  0.159  0.824  0.744  1.000  2.232  2.580  2.275  1.788  1.291  0.893  0.598
  440.0   80  1.4013 -2.817e-02  0.064  0.092    1.60  1.4744  3.152  0.159  0.842  0.726  1.000  2.180  2.453  2.084  1.579  1.095  0.731  0.470
  500.0   80  1.4000 -2.240e-02  0.064  0.092    1.60  1.1980  2.561  0.159  0.864  0.701  1.000  2.102  2.275  1.829  1.314  0.860  0.546  0.333
  550.0   80  1.3990 -1.890e-02  0.064  0.092    1.60  1.0071  2.153  0.159  0.876  0.679  1.000  2.037  2.138  1.642  1.131  0.708  0.432  0.253
  600.0   80  1.3980 -1.990e-03  0.064  0.092    1.60  0.8096  1.731  0.159  0.985  0.654  1.000  1.963  2.011  1.474  0.979  0.585  0.345  0.194
  675.0   80  1.3968 -2.762e-03  0.064  0.092    1.60  0.6298  1.347  0.159  0.978  0.624  1.000  1.871  1.839  1.264  0.790  0.444  0.248  0.132
  800.0   80  1.3930 -3.320e-03  0.064  0.092    1.60  0.4205  0.899  0.159  0.967  0.572  1.000  1.716  1.594  0.987  0.560  0.285  0.147  0.072
  870.0   80  1.3916 -4.003e-03  0.064  0.092    1.60  0.3419  0.731  0.159  0.956  0.543  1.000  1.630  1.476  0.864  0.465  0.225  0.111  0.052
 1000.0   80  1.3910 -5.160e-03  0.064  0.092    1.60  0.2419  0.517  0.159  0.934  0.493  1.000  1.478  1.290  0.681  0.332  0.146  0.067  0.029
 1020.0   80  1.3905 -5.278e-03  0.064  0.092    1.60  0.2294  0.490  0.159  0.931  0.486  1.000  1.456  1.265  0.658  0.316  0.137  0.062  0.027
55555.6   80  1.6610 -3.570e-01  0.064  0.092    1.60  0.0179  0.038  0.159  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000  0.000
23529.4   80  1.6613 -3.284e-01  0.064  0.092    1.60  0.0245  0.052  0.159  0.000  0.003  1.000  0.008  0.500  0.002  0.000  0.000  0.000  0.000
17699.1   80  1.6256 -3.555e-01  0.064  0.092    1.60  0.0364  0.078  0.159  0.000  0.005  1.000  0.014  0.500  0.003  0.000  0.000  0.000  0.000
15037.6   80  1.3208 -3.410e-01  0.064  0.092    1.60  0.0517  0.111  0.159  0.000  0.006  1.000  0.017  0.500  0.004  0.000  0.000  0.000  0.000
13157.9   80  1.3095 -2.322e-01  0.064  0.092    1.60  0.0404  0.086  0.159  0.000  0.008  1.000  0.022  0.500  0.005  0.000  0.000  0.000  0.000
