soot_anth RRTMG LUT interpolated from GADS (DAR 06/2015)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
 3418.8   70  2.0863 -9.697e-01  0.030  0.030    1.60  0.1047  0.837  0.052  0.004  0.016  1.000  0.046  0.501  0.007  0.000  0.000  0.000  0.000
 3444.7   70  2.0889 -9.742e-01  0.030  0.030    1.60  0.1040  0.831  0.052  0.004  0.015  1.000  0.045  0.501  0.007  0.000  0.000  0.000  0.000
 2777.0   70  2.0355 -9.307e-01  0.030  0.030    1.60  0.1322  1.056  0.052  0.007  0.023  1.000  0.068  0.501  0.011  0.000  0.000  0.000  0.000
 2320.2   70  2.0207 -8.781e-01  0.030  0.030    1.60  0.1561  1.248  0.052  0.011  0.032  1.000  0.097  0.503  0.015  0.000  0.000  0.000  0.000
 2044.2   70  2.0075 -8.620e-01  0.030  0.030    1.60  0.1794  1.434  0.052  0.016  0.040  1.000  0.121  0.505  0.018  0.001  0.000  0.000  0.000
 1778.4   70  1.9964 -8.461e-01  0.030  0.030    1.60  0.2097  1.676  0.052  0.024  0.052  1.000  0.154  0.507  0.023  0.001  0.000  0.000  0.000
 1455.2   70  1.9687 -8.034e-01  0.030  0.030    1.60  0.2623  2.097  0.052  0.040  0.071  1.000  0.214  0.513  0.034  0.002  0.000  0.000  0.000
 1270.3   70  1.9611 -7.912e-01  0.030  0.030    1.60  0.3104  2.481  0.052  0.055  0.088  1.000  0.264  0.519  0.042  0.004  0.000  0.000  0.000
  944.3   70  1.9544 -7.680e-01  0.030  0.030    1.60  0.4581  3.663  0.052  0.105  0.133  1.000  0.398  0.541  0.068  0.010  0.001  0.000  0.000
  693.5   70  1.9500 -7.561e-01  0.030  0.030    1.60  0.7141  5.709  0.052  0.174  0.191  1.000  0.573  0.586  0.115  0.024  0.004  0.001  0.000
  527.1   70  1.9500 -7.921e-01  0.030  0.030    1.60  1.0910  8.723  0.052  0.241  0.247  1.000  0.741  0.650  0.180  0.052  0.013  0.004  0.001
  399.8   70  1.9500 -8.080e-01  0.030  0.030    1.60  1.5555 12.437  0.052  0.305  0.313  1.000  0.939  0.763  0.292  0.111  0.036  0.013  0.004
  329.1   70  1.9570 -8.233e-01  0.030  0.030    1.60  1.9072 15.248  0.052  0.344  0.363  1.000  1.087  0.876  0.406  0.180  0.068  0.027  0.010
  229.8   70  1.7850 -7.845e-01  0.030  0.030    1.60  2.2427 17.930  0.052  0.367  0.465  1.000  1.397  1.214  0.743  0.410  0.201  0.099  0.048
 7082.2   70  2.2881 -1.133e+00  0.030  0.030    1.60  0.0466  0.372  0.052  0.001  0.004  1.000  0.011  0.500  0.002  0.000  0.000  0.000  0.000
  300.0   80  1.6824 -4.780e-01  0.030  0.036    1.60  1.8086 12.050  0.063  0.367  0.512  1.000  1.536  1.325  0.801  0.432  0.211  0.103  0.049
  400.0   80  1.6888 -4.670e-01  0.030  0.036    1.60  1.3556  9.032  0.063  0.316  0.420  1.000  1.261  1.016  0.489  0.214  0.084  0.034  0.014
  440.0   80  1.6889 -4.633e-01  0.030  0.036    1.60  1.2082  8.049  0.063  0.295  0.390  1.000  1.170  0.935  0.413  0.167  0.061  0.023  0.009
  500.0   80  1.6888 -4.570e-01  0.030  0.036    1.60  1.0213  6.805  0.063  0.267  0.350  1.000  1.051  0.843  0.329  0.119  0.039  0.014  0.005
  550.0   80  1.6888 -4.570e-01  0.030  0.036    1.60  0.9001  5.997  0.063  0.243  0.321  1.000  0.963  0.784  0.277  0.092  0.028  0.009  0.003
  600.0   80  1.6888 -4.420e-01  0.030  0.036    1.60  0.7807  5.202  0.063  0.224  0.297  1.000  0.891  0.741  0.238  0.072  0.020  0.006  0.002
  675.0   80  1.6888 -4.399e-01  0.030  0.036    1.60  0.6585  4.388  0.063  0.195  0.263  1.000  0.788  0.687  0.192  0.051  0.013  0.003  0.001
  800.0   80  1.6888 -4.370e-01  0.030  0.036    1.60  0.5131  3.419  0.063  0.153  0.217  1.000  0.651  0.628  0.142  0.031  0.007  0.002  0.000
  870.0   80  1.6882 -4.401e-01  0.030  0.036    1.60  0.4578  3.050  0.063  0.133  0.195  1.000  0.587  0.605  0.122  0.024  0.005  0.001  0.000
 1000.0   80  1.6953 -4.470e-01  0.030  0.036    1.60  0.3810  2.539  0.063  0.104  0.163  1.000  0.490  0.573  0.095  0.016  0.003  0.000  0.000
 1020.0   80  1.6963 -4.479e-01  0.030  0.036    1.60  0.3712  2.474  0.063  0.100  0.159  1.000  0.477  0.569  0.092  0.015  0.003  0.000  0.000
55555.6   80  2.2563 -9.850e-01  0.030  0.036    1.60  0.0105  0.070  0.063  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   80  2.1689 -8.926e-01  0.030  0.036    1.60  0.0156  0.103  0.063  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
17699.1   80  2.1035 -8.361e-01  0.030  0.036    1.60  0.0208  0.139  0.063  0.000  0.001  1.000  0.003  0.500  0.000  0.000  0.000  0.000  0.000
15037.6   80  2.0628 -8.030e-01  0.030  0.036    1.60  0.0245  0.164  0.063  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000  0.000
13157.9   80  2.0330 -7.747e-01  0.030  0.036    1.60  0.0279  0.186  0.063  0.000  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
11111.1   80  1.9999 -7.434e-01  0.030  0.036    1.60  0.0329  0.219  0.063  0.000  0.002  1.000  0.007  0.500  0.001  0.000  0.000  0.000  0.000
 9708.7   80  1.9766 -7.247e-01  0.030  0.036    1.60  0.0376  0.251  0.063  0.000  0.003  1.000  0.008  0.500  0.001  0.000  0.000  0.000  0.000
 8849.6   80  1.9562 -7.060e-01  0.030  0.036    1.60  0.0410  0.274  0.063  0.000  0.003  1.000  0.010  0.500  0.002  0.000  0.000  0.000  0.000
 7782.1   80  1.9227 -6.775e-01  0.030  0.036    1.60  0.0464  0.310  0.063  0.000  0.004  1.000  0.013  0.500  0.002  0.000  0.000  0.000  0.000
 6968.6   80  1.8816 -6.525e-01  0.030  0.036    1.60  0.0520  0.346  0.063  0.001  0.005  1.000  0.016  0.500  0.002  0.000  0.000  0.000  0.000
 6097.6   80  1.8663 -6.325e-01  0.030  0.036    1.60  0.0587  0.391  0.063  0.001  0.007  1.000  0.021  0.500  0.003  0.000  0.000  0.000  0.000
 5154.6   80  1.8351 -6.134e-01  0.030  0.036    1.60  0.0695  0.463  0.063  0.002  0.009  1.000  0.028  0.500  0.005  0.000  0.000  0.000  0.000
 4618.9   80  1.8154 -6.012e-01  0.030  0.036    1.60  0.0778  0.518  0.063  0.002  0.011  1.000  0.034  0.500  0.006  0.000  0.000  0.000  0.000
 4319.7   80  1.8071 -5.964e-01  0.030  0.036    1.60  0.0833  0.555  0.063  0.002  0.013  1.000  0.039  0.500  0.006  0.000  0.000  0.000  0.000
 4016.1   80  1.7991 -5.896e-01  0.030  0.036    1.60  0.0895  0.596  0.063  0.003  0.015  1.000  0.045  0.501  0.007  0.000  0.000  0.000  0.000
 3418.8   80  1.7677 -5.608e-01  0.030  0.036    1.60  0.1037  0.691  0.063  0.005  0.021  1.000  0.061  0.501  0.010  0.000  0.000  0.000  0.000
