org RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  693.5   50  1.5103 -6.310e-03  0.058  0.060    1.60  0.3446  1.905  0.104  0.945  0.471  1.000  1.415  1.173  0.569  0.260  0.104  0.046  0.018
  527.1   50  1.5106 -4.994e-03  0.058  0.060    1.60  0.6768  3.743  0.104  0.967  0.556  1.000  1.669  1.485  0.880  0.482  0.233  0.117  0.054
  399.8   50  1.5111 -4.500e-03  0.058  0.060    1.60  1.1912  6.587  0.104  0.975  0.622  1.000  1.866  1.821  1.266  0.801  0.453  0.256  0.134
  329.1   50  1.5118 -5.635e-03  0.058  0.060    1.60  1.6634  9.199  0.104  0.971  0.656  1.000  1.969  2.053  1.567  1.085  0.680  0.420  0.244
  229.8   50  1.5134 -2.700e-02  0.058  0.060    1.60  2.3200 12.830  0.104  0.874  0.704  1.000  2.113  2.376  2.033  1.563  1.111  0.758  0.502
 7082.2   50  1.4008 -6.071e-02  0.058  0.060    1.60  0.0121  0.067  0.104  0.004  0.012  1.000  0.036  0.501  0.007  0.000  0.000  0.000  0.000
  300.0   70  1.4930 -6.370e-03  0.058  0.063    1.60  1.9034 10.100  0.109  0.966  0.683  1.000  2.048  2.240  1.816  1.332  0.889  0.576  0.357
  400.0   70  1.4910 -3.980e-03  0.058  0.063    1.60  1.2040  6.388  0.109  0.977  0.636  1.000  1.907  1.902  1.360  0.883  0.514  0.298  0.161
  440.0   70  1.4907 -3.980e-03  0.058  0.063    1.60  1.0087  5.352  0.109  0.975  0.616  1.000  1.847  1.784  1.215  0.755  0.419  0.234  0.121
  500.0   70  1.4902 -3.980e-03  0.058  0.063    1.60  0.7691  4.081  0.109  0.974  0.585  1.000  1.754  1.621  1.025  0.594  0.306  0.161  0.078
  550.0   70  1.4898 -4.770e-03  0.058  0.063    1.60  0.6222  3.302  0.109  0.966  0.559  1.000  1.677  1.502  0.894  0.491  0.239  0.120  0.055
  600.0   70  1.4896 -4.770e-03  0.058  0.063    1.60  0.5061  2.686  0.109  0.963  0.533  1.000  1.599  1.396  0.783  0.408  0.188  0.090  0.040
  675.0   70  1.4894 -5.570e-03  0.058  0.063    1.60  0.3805  2.019  0.109  0.952  0.496  1.000  1.485  1.260  0.649  0.313  0.134  0.060  0.025
  800.0   70  1.4810 -7.960e-03  0.058  0.063    1.60  0.2377  1.261  0.109  0.915  0.435  1.000  1.306  1.079  0.485  0.206  0.078  0.032  0.012
  870.0   70  1.4809 -9.598e-03  0.058  0.063    1.60  0.1943  1.031  0.109  0.886  0.405  1.000  1.214  1.001  0.419  0.167  0.060  0.023  0.009
 1000.0   70  1.4806 -1.230e-02  0.058  0.063    1.60  0.1337  0.710  0.109  0.829  0.353  1.000  1.058  0.880  0.320  0.111  0.035  0.012  0.004
 1020.0   70  1.4799 -1.252e-02  0.058  0.063    1.60  0.1288  0.684  0.109  0.820  0.346  1.000  1.038  0.868  0.311  0.107  0.033  0.011  0.004
55555.6   70  1.8405 -3.870e-01  0.058  0.063    1.60  0.0113  0.060  0.109  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
